day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,03:50 ص,05:15 ص,12:20 م,04:02 م,07:11 م,08:31 م
2,03:51 ص,05:16 ص,12:20 م,04:02 م,07:10 م,08:30 م
3,03:52 ص,05:17 ص,12:20 م,04:02 م,07:09 م,08:29 م
4,03:53 ص,05:17 ص,12:20 م,04:02 م,07:09 م,08:29 م
5,03:54 ص,05:18 ص,12:19 م,04:01 م,07:08 م,08:28 م
6,03:55 ص,05:19 ص,12:19 م,04:01 م,07:06 م,08:26 م
7,03:56 ص,05:20 ص,12:19 م,04:01 م,07:05 م,08:25 م
8,03:57 ص,05:20 ص,12:19 م,04:01 م,07:04 م,08:24 م
9,03:58 ص,05:21 ص,12:19 م,04:01 م,07:03 م,08:23 م
10,03:59 ص,05:22 ص,12:19 م,04:01 م,07:02 م,08:22 م
11,04:00 ص,05:23 ص,12:19 م,04:00 م,07:01 م,08:21 م
12,04:01 ص,05:23 ص,12:19 م,04:00 م,07:01 م,08:21 م
13,04:02 ص,05:24 ص,12:19 م,04:00 م,06:59 م,08:19 م
14,04:03 ص,05:25 ص,12:19 م,03:59 م,06:58 م,08:18 م
15,04:04 ص,05:26 ص,12:19 م,03:59 م,06:56 م,08:16 م
16,04:05 ص,05:27 ص,12:19 م,03:58 م,06:55 م,08:15 م
17,04:06 ص,05:27 ص,12:19 م,03:57 م,06:54 م,08:14 م
18,04:07 ص,05:28 ص,12:19 م,03:57 م,06:53 م,08:13 م
19,04:08 ص,05:29 ص,12:19 م,03:56 م,06:51 م,08:11 م
20,04:09 ص,05:30 ص,12:19 م,03:55 م,06:50 م,08:10 م
21,04:10 ص,05:30 ص,12:18 م,03:54 م,06:48 م,08:08 م
22,04:11 ص,05:31 ص,12:18 م,03:53 م,06:46 م,08:06 م
23,04:12 ص,05:32 ص,12:18 م,03:52 م,06:45 م,08:05 م
24,04:13 ص,05:33 ص,12:18 م,03:51 م,06:44 م,08:04 م
25,04:14 ص,05:33 ص,12:18 م,03:51 م,06:44 م,08:04 م
26,04:15 ص,05:34 ص,12:18 م,03:50 م,06:43 م,08:03 م
27,04:16 ص,05:35 ص,12:18 م,03:49 م,06:41 م,08:01 م
28,04:16 ص,05:35 ص,12:17 م,03:48 م,06:39 م,07:59 م
29,04:17 ص,05:36 ص,12:17 م,03:46 م,06:37 م,07:57 م
30,04:18 ص,05:37 ص,12:16 م,03:46 م,06:36 م,07:56 م
31,04:19 ص,05:38 ص,12:16 م,03:46 م,06:36 م,07:56 م
