day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,06:00 ص,06:15 ص,12:17 م,02:50 م,05:05 م,06:25 م
2,06:00 ص,06:15 ص,12:18 م,02:50 م,05:06 م,06:26 م
3,05:59 ص,06:15 ص,12:18 م,02:51 م,05:07 م,06:27 م
4,05:58 ص,06:15 ص,12:19 م,02:51 م,05:07 م,06:27 م
5,05:58 ص,07:15 ص,12:19 م,02:51 م,05:08 م,06:28 م
6,05:58 ص,07:15 ص,12:19 م,02:52 م,05:09 م,06:29 م
7,05:58 ص,07:15 ص,12:20 م,02:52 م,05:10 م,06:30 م
8,05:58 ص,07:15 ص,12:20 م,02:52 م,05:11 م,06:31 م
9,05:58 ص,07:15 ص,12:21 م,02:53 م,05:12 م,06:32 م
10,05:58 ص,07:15 ص,12:21 م,02:53 م,05:13 م,06:33 م
11,05:58 ص,07:15 ص,12:21 م,02:54 م,05:13 م,06:33 م
12,05:58 ص,07:15 ص,12:22 م,02:54 م,05:14 م,06:34 م
13,05:57 ص,07:15 ص,12:22 م,02:55 م,05:15 م,06:35 م
14,05:57 ص,07:15 ص,12:22 م,02:55 م,05:16 م,06:36 م
15,05:56 ص,07:14 ص,12:23 م,02:56 م,05:17 م,06:37 م
16,05:56 ص,07:14 ص,12:23 م,02:56 م,05:18 م,06:38 م
17,05:55 ص,07:14 ص,12:23 م,02:57 م,05:19 م,06:39 م
18,05:55 ص,07:14 ص,12:24 م,02:58 م,05:20 م,06:40 م
19,05:54 ص,07:13 ص,12:24 م,02:58 م,05:21 م,06:41 م
20,05:54 ص,07:13 ص,12:24 م,02:59 م,05:22 م,06:42 م
21,05:53 ص,07:12 ص,12:25 م,03:00 م,05:23 م,06:43 م
22,05:53 ص,07:12 ص,12:25 م,03:01 م,05:24 م,06:44 م
23,05:52 ص,07:12 ص,12:25 م,03:02 م,05:25 م,06:45 م
24,05:52 ص,07:11 ص,12:25 م,03:03 م,05:26 م,06:46 م
25,05:51 ص,07:10 ص,12:26 م,03:04 م,05:27 م,06:47 م
26,05:51 ص,07:10 ص,12:26 م,03:05 م,05:28 م,06:48 م
27,05:50 ص,07:09 ص,12:26 م,03:06 م,05:29 م,06:49 م
28,05:50 ص,07:09 ص,12:26 م,03:07 م,05:30 م,06:50 م
29,05:49 ص,07:08 ص,12:27 م,03:08 م,05:31 م,06:51 م
30,05:48 ص,07:07 ص,12:27 م,03:09 م,05:32 م,06:52 م
31,05:47 ص,07:07 ص,12:27 م,03:10 م,05:34 م,06:54 م
