day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,04:20 ص,05:38 ص,12:14 م,03:46 م,06:34 م,07:54 م
2,04:21 ص,05:39 ص,12:14 م,03:45 م,06:33 م,07:53 م
3,04:22 ص,05:40 ص,12:13 م,03:44 م,06:33 م,07:53 م
4,04:23 ص,05:41 ص,12:13 م,03:43 م,06:31 م,07:51 م
5,04:23 ص,05:41 ص,12:13 م,03:42 م,06:29 م,07:49 م
6,04:24 ص,05:42 ص,12:12 م,03:42 م,06:27 م,07:47 م
7,04:25 ص,05:43 ص,12:12 م,03:41 م,06:26 م,07:46 م
8,04:25 ص,05:43 ص,12:12 م,03:41 م,06:24 م,07:44 م
9,04:26 ص,05:43 ص,12:11 م,03:40 م,06:23 م,07:43 م
10,04:27 ص,05:45 ص,12:11 م,03:40 م,06:23 م,07:43 م
11,04:28 ص,05:46 ص,12:11 م,03:40 م,06:21 م,07:41 م
12,04:28 ص,05:46 ص,12:10 م,03:40 م,06:19 م,07:39 م
13,04:29 ص,05:47 ص,12:10 م,03:40 م,06:17 م,07:37 م
14,04:30 ص,05:48 ص,12:10 م,03:39 م,06:16 م,07:36 م
15,04:31 ص,05:49 ص,12:09 م,03:38 م,06:14 م,07:34 م
16,04:32 ص,05:49 ص,12:09 م,03:37 م,06:13 م,07:33 م
17,04:33 ص,05:50 ص,12:09 م,03:36 م,06:12 م,07:32 م
18,04:34 ص,05:51 ص,12:08 م,03:35 م,06:10 م,07:30 م
19,04:34 ص,05:51 ص,12:08 م,03:33 م,06:08 م,07:28 م
20,04:35 ص,05:52 ص,12:08 م,03:33 م,06:07 م,07:27 م
21,04:36 ص,05:53 ص,12:07 م,03:32 م,06:06 م,07:26 م
22,04:37 ص,05:54 ص,12:07 م,03:31 م,06:04 م,07:24 م
23,04:37 ص,05:54 ص,12:06 م,03:30 م,06:03 م,07:23 م
24,04:38 ص,05:55 ص,12:06 م,03:29 م,06:01 م,07:21 م
25,04:39 ص,05:56 ص,12:06 م,03:28 م,06:00 م,07:20 م
26,04:40 ص,05:57 ص,12:05 م,03:27 م,05:58 م,07:18 م
27,04:40 ص,05:57 ص,12:05 م,03:26 م,05:57 م,07:17 م
28,04:41 ص,05:58 ص,12:05 م,03:25 م,05:55 م,07:15 م
29,04:42 ص,06:59 ص,12:04 م,03:23 م,05:54 م,07:14 م
30,04:43 ص,06:00 ص,12:04 م,03:22 م,05:53 م,07:13 م
