day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,05:07 ص,06:27 ص,11:57 ص,02:50 م,05:12 م,06:32 م
2,05:07 ص,06:27 ص,11:57 ص,02:49 م,05:11 م,06:31 م
3,05:08 ص,06:28 ص,11:57 ص,02:48 م,05:10 م,06:30 م
4,05:09 ص,06:29 ص,11:57 ص,02:47 م,05:10 م,06:30 م
5,05:10 ص,06:30 ص,11:57 ص,02:46 م,05:10 م,06:30 م
6,05:11 ص,06:31 ص,11:57 ص,02:45 م,05:08 م,06:28 م
7,05:12 ص,06:32 ص,11:57 ص,02:45 م,05:07 م,06:27 م
8,05:13 ص,06:33 ص,11:57 ص,02:45 م,05:06 م,06:26 م
9,05:14 ص,06:34 ص,11:57 ص,02:44 م,05:05 م,06:25 م
10,05:15 ص,06:35 ص,11:57 ص,02:43 م,05:04 م,06:24 م
11,05:16 ص,06:36 ص,11:58 ص,02:43 م,05:04 م,06:24 م
12,05:17 ص,06:37 ص,11:58 ص,02:42 م,05:03 م,06:23 م
13,05:18 ص,06:38 ص,11:58 ص,02:41 م,05:02 م,06:22 م
14,05:19 ص,06:39 ص,11:58 ص,02:41 م,05:02 م,06:22 م
15,05:20 ص,06:40 ص,11:58 ص,02:40 م,05:01 م,06:21 م
16,05:20 ص,06:41 ص,11:58 ص,02:40 م,05:00 م,06:20 م
17,05:21 ص,06:42 ص,11:59 ص,02:40 م,05:00 م,06:20 م
18,05:22 ص,06:43 ص,11:59 ص,02:39 م,04:59 م,06:19 م
19,05:23 ص,06:44 ص,11:59 ص,02:39 م,04:59 م,06:19 م
20,05:24 ص,06:45 ص,11:59 ص,02:38 م,04:58 م,06:18 م
21,05:25 ص,06:46 ص,12:00 م,02:38 م,04:58 م,06:18 م
22,05:26 ص,06:47 ص,12:00 م,02:37 م,04:57 م,06:17 م
23,05:27 ص,06:48 ص,12:00 م,02:37 م,04:57 م,06:17 م
24,05:28 ص,06:49 ص,12:00 م,02:37 م,04:56 م,06:16 م
25,05:29 ص,06:50 ص,12:01 م,02:37 م,04:56 م,06:16 م
26,05:30 ص,06:51 ص,12:01 م,02:37 م,04:56 م,06:16 م
27,05:30 ص,06:51 ص,12:01 م,02:37 م,04:56 م,06:16 م
28,05:31 ص,06:52 ص,12:02 م,02:37 م,04:55 م,06:15 م
29,05:32 ص,06:53 ص,12:02 م,02:37 م,04:55 م,06:15 م
30,05:33 ص,06:54 ص,12:03 م,02:36 م,04:55 م,06:15 م
