day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,03:28 ص,05:00 ص,12:17 م,04:05 م,06:27 م,08:47 م
2,03:28 ص,05:00 ص,12:18 م,04:05 م,06:27 م,08:47 م
3,03:28 ص,05:00 ص,12:18 م,04:05 م,06:26 م,08:46 م
4,03:28 ص,05:01 ص,12:18 م,04:05 م,06:26 م,08:46 م
5,03:29 ص,05:01 ص,12:18 م,04:05 م,06:26 م,08:46 م
6,03:30 ص,05:01 ص,12:18 م,04:05 م,06:26 م,08:46 م
7,03:30 ص,05:01 ص,12:18 م,04:05 م,06:26 م,08:46 م
8,03:30 ص,05:02 ص,12:19 م,04:06 م,06:25 م,08:45 م
9,03:30 ص,05:02 ص,12:19 م,04:06 م,07:25 م,08:45 م
10,03:30 ص,05:02 ص,12:19 م,04:07 م,07:25 م,08:45 م
11,03:30 ص,05:02 ص,12:19 م,04:07 م,07:25 م,08:45 م
12,03:30 ص,05:02 ص,12:19 م,04:07 م,07:24 م,08:44 م
13,03:31 ص,05:03 ص,12:19 م,04:07 م,07:24 م,08:44 م
14,03:31 ص,05:03 ص,12:19 م,04:07 م,07:24 م,08:44 م
15,03:32 ص,05:03 ص,12:19 م,04:07 م,07:23 م,08:43 م
16,03:33 ص,05:04 ص,12:19 م,04:07 م,07:22 م,08:42 م
17,03:34 ص,05:04 ص,12:19 م,04:07 م,07:22 م,08:42 م
18,03:35 ص,05:05 ص,12:20 م,04:07 م,07:21 م,08:41 م
19,03:36 ص,05:06 ص,12:20 م,04:07 م,07:21 م,08:41 م
20,03:37 ص,05:06 ص,12:20 م,04:06 م,07:20 م,08:40 م
21,03:38 ص,05:07 ص,12:20 م,04:06 م,07:20 م,08:40 م
22,03:39 ص,05:08 ص,12:20 م,04:06 م,07:19 م,08:39 م
23,03:41 ص,05:09 ص,12:20 م,04:06 م,07:18 م,08:38 م
24,03:41 ص,05:09 ص,12:20 م,04:06 م,07:18 م,08:38 م
25,03:42 ص,05:10 ص,12:20 م,04:05 م,07:17 م,08:37 م
26,03:43 ص,05:11 ص,12:20 م,04:04 م,07:16 م,08:36 م
27,03:44 ص,05:11 ص,12:20 م,04:04 م,07:15 م,08:35 م
28,03:45 ص,05:12 ص,12:20 م,04:04 م,07:15 م,08:35 م
29,03:46 ص,05:13 ص,12:20 م,04:03 م,07:14 م,08:34 م
30,03:47 ص,05:14 ص,12:20 م,04:02 م,07:13 م,08:33 م
31,03:48 ص,05:14 ص,12:20 م,04:02 م,07:12 م,08:32 م
