day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,04:37 ص,05:54 ص,12:18 م,03:45 م,06:28 م,07:48 م
2,04:36 ص,05:53 ص,12:18 م,03:45 م,06:29 م,07:49 م
3,04:35 ص,05:52 ص,12:17 م,03:45 م,06:31 م,07:51 م
4,04:33 ص,05:50 ص,12:17 م,03:45 م,06:32 م,07:52 م
5,04:32 ص,05:49 ص,12:17 م,03:46 م,06:32 م,07:52 م
6,04:30 ص,05:48 ص,12:16 م,03:46 م,06:33 م,07:53 م
7,04:29 ص,05:46 ص,12:16 م,03:46 م,06:34 م,07:54 م
8,04:28 ص,05:45 ص,12:16 م,03:46 م,06:35 م,07:55 م
9,04:27 ص,05:44 ص,12:15 م,03:47 م,06:35 م,07:55 م
10,04:26 ص,05:42 ص,12:15 م,03:47 م,06:36 م,07:56 م
11,04:24 ص,05:41 ص,12:15 م,03:47 م,06:37 م,07:57 م
12,04:22 ص,05:40 ص,12:14 م,03:48 م,06:38 م,07:58 م
13,04:21 ص,05:38 ص,12:14 م,03:48 م,06:39 م,07:59 م
14,04:20 ص,05:37 ص,12:14 م,03:48 م,06:40 م,08:00 م
15,04:18 ص,05:36 ص,12:14 م,03:48 م,06:41 م,08:01 م
16,04:17 ص,05:35 ص,12:13 م,03:49 م,06:41 م,08:01 م
17,04:16 ص,05:34 ص,12:13 م,03:49 م,06:42 م,08:02 م
18,04:15 ص,05:33 ص,12:13 م,03:49 م,06:43 م,08:03 م
19,04:13 ص,05:32 ص,12:13 م,03:49 م,06:44 م,08:04 م
20,04:12 ص,05:31 ص,12:12 م,03:50 م,06:45 م,08:05 م
21,04:10 ص,05:30 ص,12:12 م,03:50 م,06:46 م,08:06 م
22,04:09 ص,05:27 ص,12:12 م,03:50 م,06:46 م,08:06 م
23,04:07 ص,05:26 ص,12:12 م,03:50 م,06:46 م,08:06 م
24,04:06 ص,05:25 ص,12:12 م,03:51 م,06:47 م,08:07 م
25,04:05 ص,05:24 ص,12:11 م,03:51 م,06:49 م,08:09 م
26,04:04 ص,05:23 ص,12:11 م,03:51 م,06:50 م,08:10 م
27,04:03 ص,05:22 ص,12:11 م,03:51 م,06:51 م,08:11 م
28,04:01 ص,05:21 ص,12:11 م,03:52 م,06:51 م,08:11 م
29,04:00 ص,05:20 ص,12:11 م,03:52 م,06:52 م,08:12 م
30,03:58 ص,05:19 ص,12:11 م,03:52 م,06:53 م,08:13 م
