day,fajr,sunrise,dhuhr,asr,maghrib,isha
1,03:55 ص,05:17 ص,12:11 م,03:52 م,06:53 م,08:13 م
2,03:54 ص,05:16 ص,12:10 م,03:52 م,06:55 م,08:15 م
3,03:53 ص,05:16 ص,12:10 م,03:52 م,06:56 م,08:16 م
4,03:52 ص,05:15 ص,12:10 م,03:52 م,06:56 م,08:16 م
5,03:51 ص,05:14 ص,12:10 م,03:52 م,06:57 م,08:17 م
6,03:50 ص,05:14 ص,12:10 م,03:53 م,06:58 م,08:18 م
7,03:49 ص,05:12 ص,12:10 م,03:53 م,06:59 م,08:19 م
8,03:48 ص,05:12 ص,12:10 م,03:53 م,06:59 م,08:19 م
9,03:47 ص,05:10 ص,12:10 م,03:53 م,07:00 م,08:20 م
10,03:46 ص,05:09 ص,12:10 م,03:53 م,07:01 م,08:21 م
11,03:45 ص,05:08 ص,12:10 م,03:53 م,07:02 م,08:22 م
12,03:45 ص,05:07 ص,12:10 م,03:53 م,07:03 م,08:23 م
13,03:44 ص,05:07 ص,12:10 م,03:53 م,07:04 م,08:24 م
14,03:43 ص,05:07 ص,12:10 م,03:54 م,07:05 م,08:25 م
15,03:42 ص,05:05 ص,12:10 م,03:54 م,07:05 م,08:25 م
16,03:41 ص,05:05 ص,12:10 م,03:54 م,07:06 م,08:26 م
17,03:40 ص,05:04 ص,12:10 م,03:54 م,07:07 م,08:27 م
18,03:39 ص,05:03 ص,12:10 م,03:54 م,07:08 م,08:28 م
19,03:38 ص,05:03 ص,12:10 م,03:54 م,07:08 م,08:28 م
20,03:37 ص,05:02 ص,12:10 م,03:54 م,07:09 م,08:29 م
21,03:36 ص,05:01 ص,12:10 م,03:54 م,07:10 م,08:30 م
22,03:35 ص,05:01 ص,12:10 م,03:54 م,07:11 م,08:31 م
23,03:34 ص,05:00 ص,12:10 م,03:55 م,07:11 م,08:31 م
24,03:33 ص,05:00 ص,12:11 م,03:55 م,07:12 م,08:32 م
25,03:32 ص,04:59 ص,12:11 م,03:55 م,07:13 م,08:33 م
26,03:31 ص,04:59 ص,12:11 م,03:55 م,07:14 م,08:34 م
27,03:30 ص,04:58 ص,12:11 م,03:55 م,07:14 م,08:34 م
28,03:29 ص,04:58 ص,12:11 م,03:56 م,07:15 م,08:35 م
29,03:28 ص,04:58 ص,12:11 م,03:56 م,07:16 م,08:36 م
30,03:27 ص,04:57 ص,12:11 م,03:56 م,07:16 م,08:36 م
31,03:26 ص,04:57 ص,12:11 م,03:56 م,07:17 م,08:37 م
